medcodeid,allcancer_term
728481000006119,Malignant neoplasm of connective and soft tissues of lumbar spine
729371000006118,Malig neop of connective and soft tissue of abdomen NOS
288995019,Malignant neoplasm of connective and soft tissue of pelvis
288999013,Malignant neoplasm of connective and soft tissue of buttock
729411000006117,Malignant neoplasm of connective and soft tissue of inguinal region
289001014,Malignant neoplasm of connective and soft tissue of perineum
729431000006111,Malig neop of connective and soft tissue of pelvis NOS
729461000006119,Malignant neoplasm of connective and soft tissues of trunk
729281000006113,Malig neop connective and soft tissue other specified site
289007013,"Malignant neoplasm of connective and soft tissue, site NOS"
289008015,Kaposi's sarcoma of soft tissue
155060012,Malignant melanoma of skin
289009011,Malignant melanoma of lip
728201000006110,Malignant melanoma of eyelid
289011019,Malignant melanoma of ear and external auricular canal
289012014,Malignant melanoma of auricle (ear)
289013016,Malignant melanoma of external auditory meatus
289014010,Malignant melanoma of ear and external auricular canal NOS
289015011,Malignant melanoma of skin of face
1235785014,Malignant melanoma of external surface of cheek
289017015,Malignant melanoma of chin
1235786010,Malignant melanoma of eyebrow
289019017,Malignant melanoma of forehead
1235798017,Malignant melanoma of external surface of nose
289021010,Malignant melanoma of temple
289022015,Malignant melanoma of skin of face
289023013,Malignant melanoma of scalp and neck
289024019,Malignant melanoma of scalp
289025018,Malignant melanoma of neck
289026017,Malignant melanoma of scalp and/or neck
289027014,Malignant melanoma of skin of trunk
289028016,Malignant melanoma of axilla
289029012,Malignant melanoma of breast
289030019,Malignant melanoma of buttock
289031015,Malignant melanoma of groin
289033017,Malignant melanoma of perineum
289034011,Malignant melanoma of umbilicus
454085011,Malignant melanoma of back
457109011,Malignant melanoma of chest wall
289037016,Malignant melanoma of trunk
727731000006113,Malignant melanoma of upper limb
289039018,Malignant melanoma of shoulder
289040016,Malignant melanoma of upper arm
289041017,Malignant melanoma of fore-arm
289042012,Malignant melanoma of hand
289043019,Malignant melanoma of finger
289044013,Malignant melanoma of thumb
289045014,Malignant melanoma of upper limb or shoulder NOS
289046010,Malignant melanoma of lower limb and hip
289047018,Malignant melanoma of hip
289048011,Malignant melanoma of thigh
289049015,Malignant melanoma of knee
289050015,Malignant melanoma of popliteal fossa area
289051016,Malignant melanoma of lower leg
289052011,Malignant melanoma of ankle
289053018,Malignant melanoma of heel
289054012,Malignant melanoma of foot
289055013,Malignant melanoma of toe
289056014,Malignant melanoma of great toe
289057017,Malignant melanoma of lower limb or hip NOS
289060012,Malignant melanoma of other specified skin site
173816012,Overlapping malignant melanoma of skin
289063014,Malignant melanoma of skin NOS
1210642019,Malignant neoplasm of female breast
531851000006119,Ca female breast
289137018,Malignant neoplasm of nipple and areola of female breast
155417012,Malignant neoplasm of nipple of female breast
155089014,Malignant neoplasm of areola of female breast
289140018,Malignant neoplasm of nipple or areola of female breast NOS
289141019,Malignant neoplasm of central part of female breast
289142014,Malignant neoplasm of upper-inner quadrant of female breast
289143016,Malignant neoplasm of lower-inner quadrant of female breast
